ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2011/053170,0,"(-0.80800000000, 37.03200000000)","(-0.91141008320, 36.92145797390)",ICHAGAKI,MARAGWA,MURANG'A,,147540984,06/10/2010 12:00:00 AM,07/01/2010 12:00:00 AM,,07/31/2013 12:00:00 AM,,72 months 0,72 months,Expanded Business Alliance Against Chronic Hunger (BAACH),"The Expanded Business Alliance Against Chronic Hunger (BAACH) Project aims at implementing an activity program for agri-business development with irrigation solutions for sustainable food security, economic empowerment and economic growth, through format","ΓÇóEstablish a model for public ΓÇôprivate collaboration addressing hunger and poverty reduction which can be replicated or scaled to other regions
ΓÇóDevelop and implement commercially viable, potentially scalable business models which reduce hunger and",010900 - Agribusiness and Information Management,"Ministry of Agriculture, Livestock and Fisheries",ASAL Development Projects,"116 - Ministry of Agriculture, Livestock and Fisheries",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2011/052900,Olkaria I,"(-0.88800000000, 36.30900000000)","(-0.89909668279, 36.37532707120)",OLKARIA,NAIVASHA,NAKURU,13571428571,15306122449,12/06/2010 12:00:00 AM,03/07/2011 12:00:00 AM,06/06/2011 12:00:00 AM,06/30/2018 12:00:00 AM,,87 months 23 days,87 months,Geothermal Olkaria I Unit 4 And 5 And Olkaria Iv Power Plants,"This is one of the projects in the greater Olkaria Goethermal Area (GOCA) located in the Rift Valley, near Lake naivasha in the Hell's gate National Park.
The scope of the project includes:
-Engineering services with the preparation of concept and detail",To generate power for industrial and domestic use to minimize the huge energy gap that occurs currently occurs as we strive to get industralized by the year 2030,021100 - General Administration Planning and Support Services,Mercados Energy,Energy Generation of 2 * 140Mw and Distribution at  Competitive Prices.; Energy Scale-Up Programme.,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2011/052900,Olkaria Iv,"(-0.91600000000, 36.31300000000)","(-0.89909668279, 36.37532707120)",OLKARIA,NAIVASHA,NAKURU,13571428571,15306122449,12/06/2010 12:00:00 AM,03/07/2011 12:00:00 AM,06/06/2011 12:00:00 AM,06/30/2018 12:00:00 AM,,87 months 23 days,87 months,Geothermal Olkaria I Unit 4 And 5 And Olkaria Iv Power Plants,"This is one of the projects in the greater Olkaria Goethermal Area (GOCA) located in the Rift Valley, near Lake naivasha in the Hell's gate National Park.
The scope of the project includes:
-Engineering services with the preparation of concept and detail",To generate power for industrial and domestic use to minimize the huge energy gap that occurs currently occurs as we strive to get industralized by the year 2030,021100 - General Administration Planning and Support Services,Mercados Energy,Energy Generation of 2 * 140Mw and Distribution at  Competitive Prices.; Energy Scale-Up Programme.,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2012/053886,Olkaria Iv,"(-0.91600000000, 36.31300000000)","(-0.89909668279, 36.37532707120)",OLKARIA,NAIVASHA,NAKURU,13800000000,23000000000,05/03/2011 12:00:00 AM,07/01/2011 12:00:00 AM,,06/30/2016 12:00:00 AM,,59 months 29 days,59 months,Olkaria Iv Geothermal Field Production Drilling Project,Geothermal Well drilling,To Add 140MW into the national grid,021400 - Alternative Energy Technologies,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum; 115 - MOE&P- Kenya Electricity Generating Company Ltd (KENGEN),Ongoing,"Energy, Infrastructure and ICT",0
2012/054014,Nation Wide - Kenya,"(1.00000000000, 38.00000000000)","(-0.88405214689, 35.62912932620)",WASO,SAMBURU EAST,SAMBURU,51507168858,60091697000,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,05/12/2012 12:00:00 AM,06/30/2019 12:00:00 AM,,78 months 25 days,78 months,ETHIOPIA - KENYA ELECTRICITY EXPANSION HIGHWAY PROJECT (EA INTERCONNECTOR),"The project entails construction of a High Voltage Direct Current (HVDC) overhead transmission line to interconnect the Electricity network of Ethiopia, at Wolayta/Sodo substation, with the Kenya Network, at the Suswa Substation in order to increase the","To provide an additional transmission capacity to the National grid in order to address the increased power demand by ensuring that there is adequate, reliable, quality, affordable, sustainable and secure energy.",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2014/055243,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,2000000,2000000,06/14/2014 12:00:00 AM,06/16/2014 12:00:00 AM,,09/14/2014 12:00:00 AM,,3 months 1 day,3 months,kinyambu market shed,Construction and commissioning of the market shed,Provide shelter and better environment for trade purposes,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055245,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,2000000,2000000,12/20/2013 12:00:00 AM,06/14/2014 12:00:00 AM,,09/14/2014 12:00:00 AM,,2 months 29 days,2 months,Kathyaka Market shed,Construction of the market shed,Promote local trade,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055242,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,40000000,40000000,06/12/2013 12:00:00 AM,06/13/2013 12:00:00 AM,,06/30/2014 12:00:00 AM,,16 months 17 days,16 months,Drought Mitigation &  Response,provision of supplies and rations during times of distress,to reduce likelihood of loss of lives,020800 - Information And Communication Services,Unspecified,Unspecified,1121 - Ministry of Information and Communications and Technology,Ongoing,"Energy, Infrastructure and ICT",0
2014/055261,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,15000000,15000000,07/12/2013 12:00:00 AM,03/14/2014 12:00:00 AM,12/09/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,18 days,0,Waste Management,Design mechanism for solid waste mangement,To improve the management of solid waste in the county,010200 - Housing Development and Human Settlement,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Pipelined,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055263,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,1550000,3634300,07/12/2013 12:00:00 AM,03/14/2014 12:00:00 AM,,06/30/2014 12:00:00 AM,,6 months 16 days,6 months,Land Data Digitization,creating of County Digital land Data base,to sanitize the land registry,010100 - Land Policy and Planning,Ministry of Land Housing and Urban Development,Implementation of Land Reforms Programmes.,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055375,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,,785000,08/19/2013 12:00:00 AM,08/26/2013 12:00:00 AM,,06/30/2014 12:00:00 AM,,10 months 4 days,10 months,Dairy Development,Promotion of dairy farming in the county,To empower the dairy farmers,011200 - Livestock Resources Management and Development,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055222,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2012/053903,Machakos,"(-1.51700000000, 37.26700000000)","(-0.80837585167, 38.14600931730)",MACHAKOS CENTRAL,MACHAKOS TOWN,MACHAKOS,350000000,350000000,05/02/2012 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 28 days,47 months,Rural Water Supply Phase Ii,Improvement of rural water supply,Improvement of rural water supply,100400 - Water Resources Management,Unspecified,Unspecified,110 - Ministry of Environment Water and Natural Resources; 1102 - State Department for Water and Regional Authorities.,Ongoing,"Environmental Protection, Water and Natural Resources",0
2014/055220,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055221,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055258,Unspecified,,"(-2.25599100000, 37.80483700000)",,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2013/054279,Unspecified,,"(-2.19798600000, 36.81812600000)",,KAJIADO CENTRAL,KAJIADO,642077922,1605194805,04/16/2012 12:00:00 AM,04/25/2012 12:00:00 AM,,12/31/2015 12:00:00 AM,,44 months 6 days,44 months,Ngong Hills Wind Power Project Phase Ii,Green enrgy generation,Generate energy for the national grid,021400 - Alternative Energy Technologies,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2014/054707,Unspecified,,"(-2.19798600000, 36.81812600000)",,KAJIADO CENTRAL,KAJIADO,,,,,,,,,,,,,,,,,,,0
2014/055247,Unspecified,,"(-2.08493427876, 37.62841146820)",NGUU/MASUMBA,KIBWEZI WEST,MAKUENI,2000000,2000000,12/20/2013 12:00:00 AM,06/14/2014 12:00:00 AM,,09/14/2014 12:00:00 AM,,2 months 29 days,2 months,Kikumini Market shed,Construction of a market shed,Promote local trade,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055276,Unspecified,,"(-2.08493427876, 37.62841146820)",NGUU/MASUMBA,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055361,Unspecified,,"(-2.08493427876, 37.62841146820)",NGUU/MASUMBA,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055246,Unspecified,,"(-2.04527494713, 37.50481603220)",EMALI/MULALA,KIBWEZI WEST,MAKUENI,2000000,2000000,12/20/2013 12:00:00 AM,06/14/2014 12:00:00 AM,,09/14/2014 12:00:00 AM,,2 months 29 days,2 months,Emali livestock yard/ Fencing open air Market with toilet,Construction of a market shed and a toilet,To provide holding grounds for livestock,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055293,Unspecified,,"(-2.04527494713, 37.50481603220)",EMALI/MULALA,KIBWEZI WEST,MAKUENI,2000000,2000000,07/15/2014 12:00:00 AM,07/22/2013 12:00:00 AM,,06/30/2014 12:00:00 AM,,4 months 10 days,4 months,Mwasa ngombe sand dam/Emali survey,construction of Mwasa ngombe sand dam town and Emali  survey,To improve food production,010500 - Urban and Metropolitan Development,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055303,Unspecified,,"(-2.04527494713, 37.50481603220)",EMALI/MULALA,KIBWEZI WEST,MAKUENI,5000000,5000000,12/20/2013 12:00:00 AM,06/02/2014 12:00:00 AM,03/06/2014 12:00:00 AM,09/19/2014 12:00:00 AM,,3 months 21 days,3 months,Home-Crafts Centre,Construction of a home crafts centre,Promote hand crafts industry,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055211,Unspecified,,"(-2.04527494713, 37.50481603220)",EMALI/MULALA,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055234,Unspecified,,"(-2.04527494713, 37.50481603220)",EMALI/MULALA,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055254,Unspecified,,"(-2.04527494713, 37.50481603220)",EMALI/MULALA,KIBWEZI WEST,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055178,Unspecified,,"(-2.03936717686, 37.87548245100)",KITISE/KITHUKI,MAKUENI,MAKUENI,36000000,36000000,12/10/2013 12:00:00 AM,01/10/2014 12:00:00 AM,04/04/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,5 months 20 days,5 months,MEDICAL EQUIPMENTS(INCLUDING X-RAY),PURCHASE OF MEDICAL EQUIPMENTS.,"FASTER AND ACCURATE DIAGNOSIS
EFFICIENT AND EFFECTIVE SERVICES
REDUCE FINANCIAL BURDEN BY REDUCING REFERRALS
SAVING ON TIME SPENT SEEKING MEDICAL SERVICES",071600 - International Trade and Investments Promotion,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Public Administration and International Relations (PAIR),0
2014/055187,Unspecified,,"(-2.03936717686, 37.87548245100)",KITISE/KITHUKI,MAKUENI,MAKUENI,10000000,10000000,12/03/2013 12:00:00 AM,01/05/2014 12:00:00 AM,02/06/2014 12:00:00 AM,06/13/2014 12:00:00 AM,,17 days,0,MEDICAL OUTREACH CAMPAIGNS,TO CONDUCT MEDICAL OUTREACHES IN THE SIX SUB-COUNTIES,"TO PROVIIDE BASIC INVESTIGATIONS THROUGH LABORATORY SERVICES.
TO TREAT MINOR CASES.
TO DIAGNOSE AND REFER DIFFICULT CASES FOR FURTHER MANAGEMENT.
TO DIAGNOSE EARLY FOR CASE MANAGEMENT INSTEAD OF WAITING FOR LATE STAGES.",091000 - General Administration Planning and Support Services,Ministry of Health,De-Linking Ministry of Health from Service Delivery,1081 - Ministry of Health,Ongoing,"Social Protection, Culture and Recreation",0
2014/055265,Unspecified,,"(-2.03936717686, 37.87548245100)",KITISE/KITHUKI,MAKUENI,MAKUENI,2500000,2500000,12/20/2013 12:00:00 AM,06/14/2014 12:00:00 AM,,09/14/2014 12:00:00 AM,,2 months 29 days,2 months,Construction of Kitise Stock yard,Construction of a stock yard,Promote local trade in livestock,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055307,Unspecified,,"(-2.03936717686, 37.87548245100)",KITISE/KITHUKI,MAKUENI,MAKUENI,,1865843,08/05/2013 12:00:00 AM,03/03/2014 12:00:00 AM,12/05/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,4 months 18 days,4 months,Desilting of Matulani earth dam-,Desilting of Matulani earth dam in Kitise Kithuki ward,To reduce distance to a water point,010100 - Land Policy and Planning,Ministry of Land Housing and Urban Development,Implementation of Land Reforms Programmes.,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055366,Unspecified,,"(-2.03936717686, 37.87548245100)",KITISE/KITHUKI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055178,Unspecified,,"(-1.99518181363, 37.74913132510)",KATHONZWENI,MAKUENI,MAKUENI,36000000,36000000,12/10/2013 12:00:00 AM,01/10/2014 12:00:00 AM,04/04/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,5 months 20 days,5 months,MEDICAL EQUIPMENTS(INCLUDING X-RAY),PURCHASE OF MEDICAL EQUIPMENTS.,"FASTER AND ACCURATE DIAGNOSIS
EFFICIENT AND EFFECTIVE SERVICES
REDUCE FINANCIAL BURDEN BY REDUCING REFERRALS
SAVING ON TIME SPENT SEEKING MEDICAL SERVICES",071600 - International Trade and Investments Promotion,Unspecified,Unspecified,1081 - Ministry of Health,Ongoing,Public Administration and International Relations (PAIR),0
2012/054014,Nation Wide - Kenya,"(1.00000000000, 38.00000000000)","(-0.54059324741, 37.02086087200)",WASO,SAMBURU EAST,SAMBURU,51507168858,60091697000,12/05/2012 12:00:00 AM,12/05/2012 12:00:00 AM,05/12/2012 12:00:00 AM,06/30/2019 12:00:00 AM,,78 months 25 days,78 months,ETHIOPIA - KENYA ELECTRICITY EXPANSION HIGHWAY PROJECT (EA INTERCONNECTOR),"The project entails construction of a High Voltage Direct Current (HVDC) overhead transmission line to interconnect the Electricity network of Ethiopia, at Wolayta/Sodo substation, with the Kenya Network, at the Suswa Substation in order to increase the","To provide an additional transmission capacity to the National grid in order to address the increased power demand by ensuring that there is adequate, reliable, quality, affordable, sustainable and secure energy.",021300 - Power  Transmission and Distribution,Unspecified,Unspecified,1151 - Ministry of Energy & Petroleum,Ongoing,"Energy, Infrastructure and ICT",0
2014/055187,Unspecified,,"(-1.99518181363, 37.74913132510)",KATHONZWENI,MAKUENI,MAKUENI,10000000,10000000,12/03/2013 12:00:00 AM,01/05/2014 12:00:00 AM,02/06/2014 12:00:00 AM,06/13/2014 12:00:00 AM,,17 days,0,MEDICAL OUTREACH CAMPAIGNS,TO CONDUCT MEDICAL OUTREACHES IN THE SIX SUB-COUNTIES,"TO PROVIIDE BASIC INVESTIGATIONS THROUGH LABORATORY SERVICES.
TO TREAT MINOR CASES.
TO DIAGNOSE AND REFER DIFFICULT CASES FOR FURTHER MANAGEMENT.
TO DIAGNOSE EARLY FOR CASE MANAGEMENT INSTEAD OF WAITING FOR LATE STAGES.",091000 - General Administration Planning and Support Services,Ministry of Health,De-Linking Ministry of Health from Service Delivery,1081 - Ministry of Health,Ongoing,"Social Protection, Culture and Recreation",0
2014/055262,Unspecified,,"(-1.99518181363, 37.74913132510)",KATHONZWENI,MAKUENI,MAKUENI,2000000,2000000,12/20/2013 12:00:00 AM,06/14/2014 12:00:00 AM,,09/14/2014 12:00:00 AM,,2 months 29 days,2 months,Kathonzweni Market Shed,Construction of a market shed,Promote local trade,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055227,Unspecified,,"(-1.99518181363, 37.74913132510)",KATHONZWENI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055274,Unspecified,,"(-1.99518181363, 37.74913132510)",KATHONZWENI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055359,Unspecified,,"(-1.99518181363, 37.74913132510)",KATHONZWENI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055267,Unspecified,,"(-1.98361432053, 37.45287365480)",MBITINI,MAKUENI,MAKUENI,2000000,2000000,12/20/2013 12:00:00 AM,05/02/2014 12:00:00 AM,06/05/2014 12:00:00 AM,09/23/2014 12:00:00 AM,,4 months 24 days,4 months,Mutyambua Market Shed,Construction and commissioning of the market shed,Promote local trade,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055298,Unspecified,,"(-1.98361432053, 37.45287365480)",MBITINI,MAKUENI,MAKUENI,1500000,1500000,08/12/2013 12:00:00 AM,03/03/2014 12:00:00 AM,06/05/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,4 months 24 days,4 months,Mbitini -Tree planting on public forests/areas,Tree planting on public forests/areas-Masue & Mwambwani hill,To increase forest cover to 10%,010100 - Land Policy and Planning,Ministry of Environment Water and Natural Resources,Water Resource Development for the Attainment of Adequacy in Quality and Quantity.,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055225,Unspecified,,"(-1.98361432053, 37.45287365480)",MBITINI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055350,Unspecified,,"(-1.98361432053, 37.45287365480)",MBITINI,MAKUENI,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/055209,Unspecified,,"(-1.96415313628, 37.36379733110)",KASIKEU,KILOME,MAKUENI,2000000,2000000,07/16/2014 12:00:00 AM,08/29/2014 12:00:00 AM,,09/26/2014 12:00:00 AM,,28 days,0,Drilling and capping of Muuani borehole,"Drilling, caping and pipeline distribution of Muuani borehole",To ensure water distribution and accesibility,020100 - General Administration Planning and Support Services,Unspecified,Unspecified,1092 - State Department of Transport,Ongoing,"Energy, Infrastructure and ICT",0
2014/055296,Unspecified,,"(-1.96415313628, 37.36379733110)",KASIKEU,KILOME,MAKUENI,1806360,1806360,08/04/2014 12:00:00 AM,08/12/2013 12:00:00 AM,08/08/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,1 month 22 days,1 month,Mbyani River sand dam,construction of Mby in Kasikeu ward to promote irrigationani River sand dam,To improve living standards,010500 - Urban and Metropolitan Development,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055300,Unspecified,,"(-1.96415313628, 37.36379733110)",KASIKEU,KILOME,MAKUENI,1200000,1200000,12/20/2013 12:00:00 AM,06/02/2014 12:00:00 AM,02/06/2014 12:00:00 AM,09/19/2014 12:00:00 AM,,3 months 23 days,3 months,Rehabilitation of Kasikeu Market Shed,Rehabilitation of the existing market shed,Improve conditions of the market and hygiene,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
2014/055237,Unspecified,,"(-1.96415313628, 37.36379733110)",KASIKEU,KILOME,MAKUENI,,,,,,,,,,,,,,,,,,,0
2014/054698,Unspecified,,"(-1.94998100000, 37.19005700000)",,KAJIADO EAST,KAJIADO,10000000,10000000,10/16/2013 12:00:00 AM,03/26/2014 12:00:00 AM,,03/25/2015 12:00:00 AM,,11 months 30 days,11 months,Isinya Mdti Learning Resource Centre Training,"THE CENTRE, AA ONE STORY BUILDING IS TO BE ESTABLISHED WITHIN ISINYA MULTIPURPOSE DEVELOPMENT AND TRAINING INSTITUTE. THE CENTRE WILL HOUSE A LIBRARY AND SIX STUDY ROOMS.",INCREASE ENROLMENT TO ADULT EDUCATION IN KAJIADO CATCHMENT,050100 - Primary Education,Unspecified,Unspecified,106 - Ministry of Education,Planned,Education,0
2013/054557,Unspecified,,"(-1.93544300000, 41.16595200000)",,LAMU EAST,LAMU,933333332,1400000000,07/05/2013 12:00:00 AM,09/05/2013 12:00:00 AM,12/07/2013 12:00:00 AM,08/12/2018 12:00:00 AM,,59 months 7 days,59 months,Standards And Market Access Programme,"Improve surveillance and risk analysis capabilities, strengthen the border inspection posts and their coordination and integration",Improvement in the adoption and implementation of standards in the food sector,010700 - General Administration Planning and Support Services,"Ministry of Agriculture, Livestock and Fisheries",Setting up of Five Livestock Disease-free Zones in the ASAL Regions,"116 - Ministry of Agriculture, Livestock and Fisheries; 1171 - Ministry of Industrialization and Enterprise Development; 116 - MOAL&F - Kenya  Plant Health Inspectorate Service (KEPHIS); 1161 - State Department for Agriculture; 1162 - State Department fo",Planned,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055080,Unspecified,,"(-1.93544300000, 41.16595200000)",,LAMU EAST,LAMU,,,,,,,,,,,,,,,,,,,0
2014/055329,Unspecified,,"(-1.93207000000, 37.71190900000)",,KIBWEZI WEST,MAKUENI,10000000,10000000,02/28/2014 12:00:00 AM,03/03/2014 12:00:00 AM,03/03/2014 12:00:00 AM,02/28/2015 12:00:00 AM,,11 months 25 days,11 months,Construction of Governor's house of residence,Construction of the Governors residence,Provide official residence for the Governor to improve service delivery,010300 - Government Buildings,Unspecified,Unspecified,1111 - Ministry of Land Housing and Urban Development,Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055173,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,20000000,20000000,12/10/2013 12:00:00 AM,01/02/2014 12:00:00 AM,06/01/2014 12:00:00 AM,06/27/2014 12:00:00 AM,,5 months 19 days,5 months,ICT FOR DEVELOPMENT,ict for development and innovation,To ensure that all the county administartion units are automated and inter-connected for efficiency,021000 - ICT Infrastructure Development,Ministry of Information and Communications and Technology,National Information Communication Technology Infrastructure.,1121 - Ministry of Information and Communications and Technology,Ongoing,"Energy, Infrastructure and ICT",0
2011/053166,Garissa District,"(-0.17200000000, 40.04100000000)","(-0.45140191472, 40.67060603440)",FAFI,FAFI,GARISSA,884897903,942801129,01/18/2011 12:00:00 AM,11/01/2010 12:00:00 AM,,12/31/2015 12:00:00 AM,,61 months 30 days,61 months,Mainstreaming Sustainable Land Management In Agro-Pastoral Production Systems Of Kenya,"Arid and Semi-arid lands (ASALS) cover about 80% of the countryΓÇÖs total landmass and are characterized by hot and dry climate, with low and erratic rainfall that varies widely across space and time. Due to the ecological and climatic constraints, the m","To provide land users with and managers with the enabling policy, institutional and capacity environment for effective adoption of Sustainable Land Management (SLM) in agro-pastoralists production  systems in the selected four Districts( Mbeere, Kyuso, N",010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture; 1162 - State Department for Livestock",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2011/053166,Narok,"(-1.24100000000, 35.73600000000)","(-0.45140191472, 40.67060603440)",MAJIMOTO/NAROOSURA,NAROK SOUTH,NAROK,884897903,942801129,01/18/2011 12:00:00 AM,11/01/2010 12:00:00 AM,,12/31/2015 12:00:00 AM,,61 months 30 days,61 months,Mainstreaming Sustainable Land Management In Agro-Pastoral Production Systems Of Kenya,"Arid and Semi-arid lands (ASALS) cover about 80% of the countryΓÇÖs total landmass and are characterized by hot and dry climate, with low and erratic rainfall that varies widely across space and time. Due to the ecological and climatic constraints, the m","To provide land users with and managers with the enabling policy, institutional and capacity environment for effective adoption of Sustainable Land Management (SLM) in agro-pastoralists production  systems in the selected four Districts( Mbeere, Kyuso, N",010900 - Agribusiness and Information Management,Unspecified,Unspecified,"116 - Ministry of Agriculture, Livestock and Fisheries; 1161 - State Department for Agriculture; 1162 - State Department for Livestock",Ongoing,"Agriculture, Rural and Urban Development (ARUD)",0
2014/055248,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,7200000,06/11/2013 12:00:00 AM,03/07/2014 12:00:00 AM,07/03/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,7 months 24 days,7 months,Community Radio Station,setting up and opeartionalisation of a community radio (local dialect) within the county,Improve public  information sharing as stipulated in Article 35 of the Constitution of Kenya 2010,020800 - Information And Communication Services,Ministry of Information and Communications and Technology,National Information Communication Technology Infrastructure.,1121 - Ministry of Information and Communications and Technology,Ongoing,"Energy, Infrastructure and ICT",0
2014/055250,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,500000,500000,06/11/2013 12:00:00 AM,03/07/2014 12:00:00 AM,,06/30/2014 12:00:00 AM,,1 month 1 day,1 month,Employment Bureau,Establishment of a framework that links Job seekers with potential employers,Raise the living standards,020800 - Information And Communication Services,Ministry of Information and Communications and Technology,National Information Communication Technology Infrastructure.,1121 - Ministry of Information and Communications and Technology,Pipelined,"Energy, Infrastructure and ICT",0
2014/055252,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,,2236480,07/12/2013 12:00:00 AM,03/07/2014 12:00:00 AM,07/03/2014 12:00:00 AM,06/30/2014 12:00:00 AM,,6 months 23 days,6 months,Band with Upgrade,Increase and Upgrade the Internet Band Width,To Increase and Upgrade the Internet Band Width,020800 - Information And Communication Services,Ministry of Information and Communications and Technology,National Information Communication Technology Infrastructure.,1121 - Ministry of Information and Communications and Technology,Pipelined,"Energy, Infrastructure and ICT",0
2014/055255,Unspecified,,"(-1.93207000000, 37.71190900000)",,MAKUENI,MAKUENI,30000000,30000000,12/20/2013 12:00:00 AM,06/14/2013 12:00:00 AM,,09/14/2014 12:00:00 AM,,2 months 27 days,2 months,Consumer Protection Unit,Purchase and installation of consumer protection equipment,Promote consumer protection,030300 - Standards and Business Incubation,Unspecified,Unspecified,1171 - Ministry of Industrialization and Enterprise Development,Ongoing,General Economic and Commercial Affairs,0
