ProjectID,EPGeoName,Location1_EProMIS,Location2_Secondary,Ward,Constituency,County,Project Cost Yearly Breakdown (KES),Total Project Cost (KES),Approval Date ,Start Date (Planned),Start Date (Actual),End Date (Planned),End Date (Actual),Duration,Duration (Months),Project Title,Project Description,Project Objectives,NG Programme,Vision 2030 Flagship Ministry,Vision 2030 Flagship Project/Programme,Implementing Agency,Implementation Status,MTEF Sector,Work Plan Progress (%) 
2012/053896,Unspecified,,,,,,233000000,233000000,02/16/2011 12:00:00 AM,07/01/2011 12:00:00 AM,,06/30/2014 12:00:00 AM,,35 months 29 days,35 months,Kenya -E-Government,Implement e-Government,to automate government operations,070200 - Cabinet Affairs,Unspecified,Unspecified,1011 - The Presidency; 1121 - Ministry of Information and Communications and Technology,Ongoing,Unspecified,0
2012/053898,Unspecified,,,,,,4268000000,4268000000,02/16/2011 12:00:00 AM,07/01/2011 12:00:00 AM,,12/31/2013 12:00:00 AM,,29 months 30 days,29 months,Enterprise Messaging And Collaboration System (Emacs),Installation of Enterprise Messaging and Collaboration System (EMACS),Installation of Enterprise Messaging and Collaboration System (EMACS),070200 - Cabinet Affairs,Unspecified,Unspecified,1011 - The Presidency; 1121 - Ministry of Information and Communications and Technology,Ongoing,Unspecified,0
2012/053908,Unspecified,,,,,,386760000,386760000,04/03/2012 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2015 12:00:00 AM,,35 months 28 days,35 months,Cemastea Project,CEMASTEA project,CEMASTEA project,050200 - Secondary Education,Unspecified,Unspecified,106 - Ministry of Education,Ongoing,Education,0
2012/053913,Unspecified,,,,,,3386822966,3386822966,05/02/2012 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2016 12:00:00 AM,,47 months 28 days,47 months,Kenyatta University Teaching And Referal Hospital Project,Construction and equipment of teaching and referral hospital at kenyatta University,Teaching and Referal Hospital Project,"050400 - University Education; 050600 - Research, Science, Technology and Innovation",Unspecified,Unspecified,106 - Ministry of Education; 1061 - State Department for Education; 1062 - State Department for Science and Technology,Ongoing,Education,0
2012/053918,Unspecified,,,,,,23500000,23500000,02/02/2012 12:00:00 AM,07/02/2012 12:00:00 AM,,06/30/2015 12:00:00 AM,,35 months 28 days,35 months,Expert For One Village One Product,Expert for One Village One Product,One Village One Product expertise provision,071300 - Special Initiatives,Unspecified,Unspecified,103 - Ministry of Devolution and Planning,Ongoing,Public Administration and International Relations (PAIR),0
2012/053946,Unspecified,,,,,,8498640555,8498640555,10/01/2011 12:00:00 AM,10/01/2011 12:00:00 AM,01/01/2012 12:00:00 AM,12/31/2016 12:00:00 AM,,83 months 30 days,83 months,Special Global Fund Malaria Round 10,The grant mainly focues on procurement of Rapid Diagonostic Test Kits and Anti Malaria Medicines.This program shall be implimented by both the Ministry of Finance and the Ministry of Health,"The program objectives are
1.To achieve universal coverage of LLINs by 2016
2. Increase knowledge and practices on use of LLINs
3.Strengthen maralia surveillance",040100 - Preventive & Promotive Health Services,Unspecified,Unspecified,1071 - The National Treasury; 1081 - Ministry of Health,Ongoing,Health,0
2012/053957,Unspecified,,,,,,2250000,4500000,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Social Policy And Statistics (KNBS),Enhance the Ken Info database to provide vision 2030 and MDG indicators (by sex and region) and data collection initiatives that address key indicators related to women and children.,Provision of high quality data (disagregated by sex and geographical area) for evidence based planning,070600 - Economic Policy and National Planning,Unspecified,Unspecified,103 - Ministry of Devolution and Planning; 1031 - State Department for Planning,Ongoing,Public Administration and International Relations (PAIR),0
2012/053958,Unspecified,,,,,,131250,350000,01/05/2009 12:00:00 AM,01/26/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,83 months 5 days,83 months,Technical And Vocational Skills Training For Vulnerable Youth,Provision of quality relevant learning technical and vocational skills to vulnerable youth that are responsive to the labour marjket needs.,increase the percentage of out of school vulnerable youth gaining marketable skills and employment.,050500 - Technical Vocational Education and Training,Unspecified,Unspecified,106 - Ministry of Education; 1131 - Ministry of Sports Culture and Arts,Ongoing,Education,0
2012/053962,Unspecified,,,,,,300000000,300000000,10/08/2002 12:00:00 AM,07/01/2003 12:00:00 AM,,06/30/2015 12:00:00 AM,,143 months 29 days,143 months,To Strengthen Good Governance In The Public Service,STRENGTHEN THE CAPACITY OF PUBLIC INSTITUTIONS TO DEAL WITH CORRUPTION AMONG OTHER VICES,TO ENSURE EFFICIENT DELIVERY OF PUBLIC SERVICE,"060900 - General Administration, Planning and  Support Services",Unspecified,Unspecified,1251 - Office of The Attorney General and Department of Justice,Ongoing,"Governance, Justice, Law and Order (GJLOS)",0
2012/053975,Unspecified,,,,,,200000,350000,12/07/2009 12:00:00 AM,12/28/2009 12:00:00 AM,,12/31/2015 12:00:00 AM,,72 months 3 days,72 months,Life Skills/Peace Education/Disaster Risk Reduction,Establishment of learning and skills building curriculum establioshed for youth to improve awareness and bring behaviour change. Ensure young people have access to quality and relevant skill building programmes.,Increase percentage of young people gainig marketable skills.Increase percentage of young people showing improved awareness of responsible living and behaviour change.,050500 - Technical Vocational Education and Training,Unspecified,Unspecified,106 - Ministry of Education; 1061 - State Department for Education,Ongoing,Education,0
